generation	clone_id	dN	dS	pN	pS
11001	4	4	2	7	3
11001	5	7	4	18	8
11001	6	11	3	22	10
11001	7	8	6	21	8
11001	8	2	3	6	7
11001	9	8	5	13	4
11501	0	6	2	15	5
11501	1	1	2	6	7
11501	2	13	7	24	21
11501	3	7	0	6	5
11501	4	4	2	7	5
11501	5	7	4	17	4
11501	6	11	3	18	10
11501	7	8	6	18	4
11501	8	2	3	11	5
11501	9	7	5	13	7
12001	0	7	1	15	5
12001	1	2	0	8	7
12001	2	14	8	35	11
12001	3	7	2	7	2
12001	4	4	2	14	3
12001	5	7	5	13	3
12001	6	12	4	19	5
12001	7	9	6	18	11
12001	8	2	2	8	6
12001	9	8	5	15	5
12501	0	7	2	17	4
12501	1	2	2	8	5
12501	2	16	8	29	12
12501	3	8	2	6	3
12501	4	2	2	12	5
12501	5	7	4	15	7
12501	6	12	4	24	9
12501	7	9	7	20	12
12501	8	2	3	12	6
12501	9	9	5	12	7
13001	0	8	2	15	5
13001	1	2	2	12	7
13001	2	16	8	26	16
13001	3	8	2	11	4
13001	4	4	2	6	2
13001	5	6	4	16	8
13001	6	13	4	12	9
13001	7	8	7	17	13
13001	8	2	3	11	7
13001	9	9	3	13	5
13501	0	8	2	15	2
13501	1	2	4	9	6
13501	2	16	8	29	12
13501	3	8	3	7	2
13501	4	4	2	9	5
13501	5	7	4	19	7
13501	6	13	5	19	5
13501	7	9	9	14	6
13501	8	5	3	12	6
13501	9	11	4	11	5
14001	0	10	2	10	7
14001	1	1	3	11	2
14001	2	18	9	23	10
14001	3	6	3	14	2
14001	4	4	2	5	4
14001	5	8	6	14	3
14001	6	12	5	22	10
14001	7	11	10	11	6
14001	8	6	5	7	7
14001	9	11	6	13	2
14501	0	8	2	16	5
14501	1	1	3	7	3
14501	2	18	9	21	19
14501	3	7	3	10	5
14501	4	4	2	9	2
14501	5	10	6	16	4
14501	6	15	6	26	6
14501	7	10	11	19	6
14501	8	7	5	7	4
14501	9	11	6	15	6
15001	0	11	2	11	3
15001	1	3	4	5	2
15001	2	18	10	18	9
15001	3	9	4	6	2
15001	4	4	2	10	10
15001	5	13	6	10	6
15001	6	16	7	22	7
15001	7	12	11	7	8
15001	8	5	6	8	6
15001	9	11	7	10	4
15501	0	11	2	6	3
15501	1	3	4	10	5
15501	2	19	10	24	9
15501	3	9	4	6	5
15501	4	4	2	10	4
15501	5	13	6	11	3
15501	6	16	7	21	10
15501	7	11	10	19	6
15501	8	7	6	5	6
15501	9	11	7	7	5
16001	0	11	2	16	3
16001	1	3	3	7	4
16001	2	18	6	31	14
16001	3	9	4	7	4
16001	4	4	3	10	4
16001	5	15	7	16	3
16001	6	16	6	12	12
16001	7	11	11	23	10
16001	8	7	7	11	5
16001	9	11	7	10	8
16501	0	12	1	11	6
16501	1	3	4	12	7
16501	2	22	9	25	12
16501	3	9	4	7	4
16501	4	4	4	10	4
16501	5	17	7	11	7
16501	6	16	7	28	12
16501	7	13	11	18	8
