generation	clone_id	dN	dS	pN	pS
53501	8	22	12	12	3
53501	9	22	29	11	3
54001	0	29	12	10	6
54001	1	15	15	5	6
54001	2	70	42	29	12
54001	3	26	10	5	0
54001	4	23	13	13	5
54001	5	38	16	6	5
54001	6	66	35	23	7
54001	7	35	26	22	8
54001	8	22	11	7	6
54001	9	23	27	9	4
54501	0	26	11	18	5
54501	1	15	15	7	5
54501	2	71	39	34	17
54501	3	26	13	6	3
54501	4	23	13	12	4
54501	5	39	18	10	9
54501	6	67	34	31	16
54501	7	38	28	16	11
54501	8	24	10	4	3
54501	9	22	30	11	3
55001	0	26	11	23	10
55001	1	15	14	12	4
55001	2	72	38	28	18
55001	3	21	14	7	5
55001	4	20	13	13	6
55001	5	36	16	13	8
55001	6	65	35	21	11
55001	7	36	27	17	11
55001	8	21	10	7	3
55001	9	21	27	13	4
55501	0	32	13	16	7
55501	1	15	15	7	6
55501	2	72	40	35	16
55501	3	26	14	7	5
55501	4	22	12	14	6
55501	5	39	19	11	7
55501	6	67	34	31	12
55501	7	38	28	17	6
55501	8	23	9	5	2
55501	9	22	30	5	2
56001	0	35	14	13	6
56001	1	14	13	8	4
56001	2	68	37	28	15
56001	3	24	14	6	3
56001	4	24	13	8	6
56001	5	38	16	18	6
56001	6	69	37	20	5
56001	7	40	28	19	10
56001	8	25	13	4	5
56001	9	21	29	11	5
56501	0	35	14	12	6
56501	1	15	16	10	5
56501	2	76	38	36	11
56501	3	26	13	6	2
56501	4	26	11	13	3
56501	5	39	18	10	2
56501	6	68	37	20	9
56501	7	40	29	22	8
56501	8	22	12	8	5
56501	9	22	29	10	5
57001	0	36	15	10	6
57001	1	14	15	11	3
57001	2	72	40	31	11
57001	3	24	14	3	2
57001	4	26	13	11	1
57001	5	39	16	8	7
57001	6	69	36	20	13
57001	7	37	29	23	10
57001	8	23	14	10	6
57001	9	23	30	6	3
57501	0	34	11	14	11
57501	1	16	17	10	4
57501	2	79	41	16	16
57501	3	26	14	6	0
57501	4	25	11	12	1
57501	5	36	18	13	7
57501	6	67	39	25	5
57501	7	41	31	15	6
57501	8	23	14	13	5
57501	9	24	30	10	3
58001	0	33	12	15	10
58001	1	15	17	15	1
58001	2	79	45	26	7
58001	3	26	13	8	2
58001	4	25	14	4	3
58001	5	38	18	13	7
58001	6	69	37	22	9
58001	7	43	30	13	9
58001	8	25	13	8	4
58001	9	26	30	9	5
58501	0	35	14	19	8
58501	1	15	16	13	3
58501	2	76	43	39	11
58501	3	25	12	7	2
58501	4	25	14	9	2
58501	5	36	18	16	4
58501	6	64	35	30	8
58501	7	40	32	20	5
58501	8	24	13	7	3
58501	9	26	27	17	10
59001	0	35	15	19	6
59001	1	17	16	4	1
59001	2	76	43	30	12
59001	3	25	14	10	3
59001	4	26	14	12	7
59001	5	37	18	18	6
59001	6	66	38	28	7
59001	7	41	28	25	14
59001	8	24	14	6	5
59001	9	25	29	9	8
59501	0	39	14	13	7
59501	1	17	17	9	3
59501	2	78	38	27	20
59501	3	24	13	12	4
59501	4	27	12	7	2
59501	5	37	17	17	7
59501	6	66	36	24	14
59501	7	39	31	16	9
59501	8	24	14	4	5
59501	9	24	27	16	7
60001	0	36	15	17	4
60001	1	20	16	6	3
60001	2	82	44	16	16
60001	3	27	12	5	5
60001	4	25	11	10	12
60001	5	39	20	9	5
60001	6	71	38	24	5
60001	7	46	32	8	9
60001	8	24	14	9	4
60001	9	22	25	11	5
60501	0	40	15	12	4
60501	1	20	16	7	2
60501	2	78	45	19	11
60501	3	26	12	8	2
60501	4	27	14	10	3
60501	5	40	19	13	4
60501	6	72	40	14	11
60501	7	44	31	17	9
60501	8	22	14	8	5
60501	9	23	31	10	5
61001	0	40	14	8	9
61001	1	20	17	12	2
61001	2	80	47	25	11
61001	3	26	13	5	3
61001	4	27	11	11	3
61001	5	38	19	16	5
61001	6	68	35	16	10
61001	7	42	30	24	9
61001	8	21	16	10	7
61001	9	22	28	14	6
61501	0	39	13	17	7
61501	1	18	15	8	2
61501	2	83	47	25	9
61501	3	28	13	3	3
61501	4	27	13	8	5
61501	5	39	18	15	11
61501	6	71	36	17	11
61501	7	43	28	12	10
61501	8	21	14	9	8
61501	9	25	29	13	3
62001	0	39	15	18	5
62001	1	19	16	11	2
62001	2	80	44	28	13
62001	3	27	14	6	3
62001	4	25	14	3	5
62001	5	36	18	17	8
62001	6	70	37	24	13
62001	7	44	32	18	7
62001	8	23	14	6	8
62001	9	25	29	9	6
62501	0	39	12	17	5
62501	1	17	13	9	3
62501	2	77	44	35	9
62501	3	28	13	8	3
62501	4	28	13	9	1
62501	5	38	20	13	5
62501	6	69	36	20	11
62501	7	43	31	26	9
62501	8	23	15	6	8
62501	9	26	29	9	5
63001	0	41	14	6	6
63001	1	23	16	5	7
63001	2	78	44	28	18
63001	3	27	14	5	3
63001	4	29	13	17	3
63001	5	41	20	12	3
63001	6	72	38	22	14
63001	7	46	32	16	7
63001	8	25	17	10	6
63001	9	23	28	9	6
63501	0	40	15	13	6
63501	1	23	17	9	2
63501	2	80	45	27	9
63501	3	25	14	10	1
63501	4	25	14	14	3
63501	5	39	19	17	6
63501	6	70	41	23	7
63501	7	43	32	23	9
63501	8	26	15	8	5
63501	9	24	30	17	5
64001	0	39	15	11	8
64001	1	23	17	4	4
64001	2	78	42	45	16
64001	3	28	14	4	3
64001	4	27	12	14	3
64001	5	39	19	13	6
64001	6	65	39	27	8
64001	7	42	33	23	6
64001	8	25	15	12	7
64001	9	26	28	15	6
64501	0	41	15	16	4
64501	1	22	17	7	4
64501	2	77	44	33	15
64501	3	26	14	6	2
64501	4	26	14	14	5
64501	5	40	18	12	3
64501	6	67	40	21	7
64501	7	43	30	25	10
64501	8	26	14	11	9
64501	9	23	32	16	5
65001	0	41	16	14	8
65001	1	20	16	9	3
65001	2	80	46	34	12
65001	3	28	14	9	4
65001	4	29	13	11	2
65001	5	38	20	7	9
65001	6	72	42	21	8
65001	7	48	33	20	6
65001	8	26	16	9	8
65001	9	28	32	8	4
65501	0	44	17	13	5
65501	1	22	16	11	6
65501	2	82	44	20	10
65501	3	28	14	4	5
65501	4	29	14	6	6
65501	5	39	19	15	2
65501	6	74	41	16	5
65501	7	48	33	20	6
65501	8	25	17	9	4
65501	9	28	31	11	5
66001	0	36	16	21	5
66001	1	18	15	15	3
66001	2	80	40	32	18
66001	3	28	12	7	4
66001	4	28	14	6	3
66001	5	40	17	15	8
66001	6	74	40	23	9
66001	7	47	30	23	8
66001	8	28	15	15	3
66001	9	27	32	10	4
66501	0	42	16	19	7
66501	1	24	17	8	3
66501	2	81	45	28	12
66501	3	27	11	9	6
66501	4	26	13	8	3
66501	5	40	18	17	9
66501	6	73	43	24	9
66501	7	46	33	28	14
66501	8	25	16	11	3
66501	9	25	29	14	7
67001	0	40	17	18	6
67001	1	23	18	8	5
67001	2	82	44	35	14
67001	3	29	12	7	5
67001	4	28	13	8	7
67001	5	38	19	10	7
67001	6	76	41	25	6
67001	7	46	32	22	7
67001	8	27	15	8	4
67001	9	27	29	15	7
67501	0	38	16	15	7
67501	1	20	13	14	4
67501	2	80	43	27	13
67501	3	29	13	6	3
67501	4	29	14	10	13
67501	5	38	18	13	10
67501	6	76	41	18	11
67501	7	47	30	25	11
67501	8	24	14	12	5
67501	9	24	31	14	9
68001	0	41	18	13	9
68001	1	22	17	12	3
68001	2	81	43	35	16
68001	3	27	13	7	9
68001	4	27	13	9	4
68001	5	37	20	10	10
68001	6	75	37	28	11
68001	7	48	33	27	12
68001	8	27	16	10	8
68001	9	26	30	14	5
68501	0	38	17	19	8
68501	1	20	13	22	6
68501	2	82	44	33	21
68501	3	28	13	10	5
68501	4	27	12	11	3
68501	5	37	17	18	12
68501	6	73	40	25	16
68501	7	47	33	28	14
68501	8	27	14	13	5
68501	9	25	30	14	6
69001	0	43	18	14	5
69001	1	23	16	12	6
69001	2	81	44	35	18
69001	3	26	11	7	9
69001	4	27	15	9	2
69001	5	40	21	18	9
69001	6	74	41	23	16
69001	7	46	37	21	10
69001	8	27	17	8	5
69001	9	26	28	19	10
69501	0	43	18	13	5
69501	1	21	16	8	8
69501	2	80	43	38	19
69501	3	28	12	11	5
69501	4	26	15	8	4
69501	5	39	21	18	7
69501	6	77	44	20	13
69501	7	50	37	20	9
69501	8	29	16	10	8
69501	9	25	31	11	4
70001	0	44	18	14	11
70001	1	21	16	12	6
70001	2	84	45	39	30
70001	3	28	11	6	8
70001	4	24	15	16	3
70001	5	40	21	21	6
70001	6	73	43	25	19
70001	7	48	35	26	13
70001	8	28	15	10	11
70001	9	25	31	17	12
70501	0	44	18	12	9
70501	1	21	14	6	6
70501	2	80	44	43	24
70501	3	27	13	9	5
70501	4	27	14	17	5
70501	5	38	17	28	7
70501	6	72	40	27	11
70501	7	48	36	30	20
70501	8	27	17	11	8
70501	9	26	29	12	12
71001	0	43	21	14	6
71001	1	21	20	8	3
71001	2	90	50	31	14
71001	3	28	13	6	1
71001	4	29	14	11	5
71001	5	46	19	12	5
71001	6	74	43	21	5
71001	7	56	43	16	9
71001	8	29	19	11	8
71001	9	25	32	13	9
71501	0	39	16	15	8
71501	1	21	19	7	2
71501	2	90	49	29	14
71501	3	27	15	7	4
71501	4	30	15	8	7
71501	5	46	22	12	6
71501	6	79	48	15	5
71501	7	54	40	14	7
71501	8	30	20	8	5
71501	9	27	30	7	9
72001	0	45	18	11	3
72001	1	23	18	10	4
72001	2	89	52	29	8
72001	3	26	14	6	6
72001	4	31	17	6	2
72001	5	46	20	16	4
72001	6	80	49	15	8
72001	7	54	42	13	9
72001	8	31	20	7	2
72001	9	27	33	11	3
72501	0	43	18	13	9
72501	1	24	20	6	1
72501	2	89	50	32	16
72501	3	24	16	9	1
72501	4	28	17	11	3
72501	5	44	20	18	5
72501	6	79	47	15	7
72501	7	55	43	18	8
72501	8	29	21	16	2
72501	9	27	28	17	3
73001	0	45	20	12	4
73001	1	23	21	6	2
73001	2	88	52	33	14
73001	3	26	17	5	4
73001	4	30	13	10	3
73001	5	47	20	15	5
73001	6	75	49	21	11
73001	7	56	42	18	11
73001	8	29	21	11	4
73001	9	29	29	13	4
73501	0	45	21	13	6
73501	1	22	19	9	2
73501	2	83	49	37	9
73501	3	29	17	6	0
73501	4	32	14	5	4
73501	5	47	19	17	6
73501	6	77	49	25	13
73501	7	54	40	18	13
73501	8	28	22	13	4
73501	9	30	32	9	2
74001	0	46	19	15	5
74001	1	20	16	13	3
74001	2	95	51	29	10
74001	3	29	18	3	0
74001	4	31	15	14	1
74001	5	50	19	11	8
74001	6	74	49	17	10
74001	7	54	39	24	8
74001	8	29	22	14	3
74001	9	32	30	12	4
74501	0	46	20	17	6
74501	1	18	17	9	4
74501	2	93	50	35	14
74501	3	30	19	2	2
74501	4	32	13	10	3
74501	5	48	21	8	9
74501	6	75	46	27	14
74501	7	55	42	21	7
74501	8	30	21	10	3
74501	9	31	32	13	6
75001	0	47	19	15	6
75001	1	22	20	11	2
75001	2	87	51	34	10
75001	3	29	16	6	3
75001	4	29	10	17	4
75001	5	44	21	17	8
75001	6	73	48	26	13
75001	7	54	43	28	10
75001	8	29	18	12	7
75001	9	31	30	14	12
75501	0	44	19	19	3
75501	1	21	16	13	5
75501	2	86	54	32	9
75501	3	24	16	9	0
75501	4	28	14	6	2
75501	5	48	21	11	3
75501	6	75	46	22	11
75501	7	56	44	15	8
75501	8	26	22	10	1
75501	9	32	32	12	7
76001	0	45	21	19	1
76001	1	20	16	7	5
76001	2	90	50	38	10
76001	3	27	17	7	2
76001	4	29	15	9	2
76001	5	42	20	24	6
76001	6	77	47	22	13
76001	7	51	42	27	11
76001	8	30	21	10	3
76001	9	31	32	13	8
76501	0	48	21	16	5
76501	1	17	16	12	5
76501	2	90	51	36	9
76501	3	28	18	7	4
76501	4	31	13	13	5
76501	5	46	19	18	6
76501	6	78	48	24	12
76501	7	51	43	17	7
76501	8	30	21	11	4
76501	9	32	33	14	10
77001	0	49	19	14	8
77001	1	23	21	4	2
77001	2	91	56	35	10
77001	3	28	18	8	3
77001	4	33	15	8	2
77001	5	49	23	12	7
77001	6	79	53	18	9
77001	7	54	42	26	10
77001	8	34	21	9	3
77001	9	35	30	12	7
77501	0	53	22	12	2
77501	1	25	20	9	3
77501	2	99	55	31	16
77501	3	29	18	5	1
77501	4	31	17	9	3
77501	5	48	22	16	3
77501	6	76	54	18	7
77501	7	56	42	22	6
77501	8	31	22	10	1
77501	9	35	34	10	4
78001	0	53	22	19	2
78001	1	25	19	8	3
78001	2	101	57	20	12
78001	3	28	18	4	2
78001	4	32	15	8	6
78001	5	43	20	26	7
78001	6	79	52	18	6
78001	7	55	48	19	11
78001	8	32	20	11	3
78001	9	33	34	13	6
78501	0	52	20	21	5
78501	1	26	19	5	6
78501	2	99	54	29	15
78501	3	30	19	5	2
78501	4	34	16	4	7
78501	5	52	21	11	4
78501	6	80	52	15	6
78501	7	51	45	27	12
78501	8	30	22	14	1
78501	9	35	33	12	5
79001	0	54	22	11	7
79001	1	26	20	8	2
79001	2	103	61	24	10
79001	3	30	19	2	3
79001	4	35	18	6	3
79001	5	49	22	7	3
79001	6	78	55	23	5
79001	7	60	46	13	5
79001	8	33	22	4	0
79001	9	36	32	11	5
79501	0	50	23	13	7
79501	1	24	18	13	1
79501	2	105	60	17	14
79501	3	30	19	4	0
79501	4	34	17	10	3
79501	5	48	22	16	3
79501	6	77	54	25	8
79501	7	58	45	21	6
79501	8	33	22	8	7
79501	9	35	30	18	4
80001	0	51	22	21	2
80001	1	26	20	9	2
80001	2	99	58	25	12
80001	3	29	19	3	2
80001	4	36	18	3	4
80001	5	49	22	11	7
80001	6	74	53	27	10
80001	7	56	45	19	10
80001	8	32	22	10	0
80001	9	38	30	13	6
80501	0	54	22	10	6
80501	1	25	20	6	2
80501	2	102	59	19	14
80501	3	28	16	12	5
80501	4	36	16	8	1
80501	5	51	21	10	6
80501	6	77	50	29	14
80501	7	60	44	21	9
80501	8	31	22	6	1
80501	9	37	32	16	11
81001	0	52	23	17	5
81001	1	27	20	7	1
81001	2	103	62	17	19
81001	3	28	18	9	2
81001	4	32	18	7	5
81001	5	47	22	14	8
81001	6	78	54	23	13
81001	7	62	46	21	12
81001	8	32	21	13	4
81001	9	36	32	11	5
81501	0	50	23	14	3
81501	1	27	20	5	4
81501	2	96	58	36	9
81501	3	29	18	8	3
81501	4	35	19	3	5
81501	5	52	20	14	4
81501	6	80	48	24	15
81501	7	60	46	18	8
81501	8	31	21	6	7
81501	9	38	33	4	3
82001	0	52	23	19	7
82001	1	26	20	10	7
82001	2	102	62	29	10
82001	3	30	19	5	2
82001	4	35	17	13	6
82001	5	50	23	15	2
82001	6	81	54	18	11
82001	7	62	46	13	10
82001	8	28	20	9	3
82001	9	36	32	7	8
82501	0	56	24	14	6
82501	1	26	19	11	4
82501	2	101	63	26	8
82501	3	31	18	3	4
82501	4	35	16	9	4
82501	5	51	23	11	6
82501	6	73	52	26	8
82501	7	61	45	18	10
82501	8	29	22	9	2
82501	9	37	34	12	9
83001	0	56	24	12	6
83001	1	27	19	6	3
83001	2	102	59	28	11
83001	3	30	18	2	2
83001	4	33	18	7	4
83001	5	49	23	9	4
83001	6	78	54	22	9
83001	7	58	44	29	10
83001	8	33	21	6	5
83001	9	37	33	10	6
83501	0	52	21	19	7
83501	1	26	20	6	2
83501	2	109	58	19	11
83501	3	32	19	2	4
83501	4	33	18	13	7
83501	5	52	23	17	2
83501	6	78	51	24	10
83501	7	60	46	20	6
83501	8	34	23	1	5
83501	9	33	33	12	6
84001	0	54	24	16	7
84001	1	27	19	9	6
84001	2	102	57	36	17
84001	3	31	18	6	0
84001	4	35	19	3	6
84001	5	50	22	13	9
84001	6	83	53	19	9
84001	7	63	47	24	4
84001	8	33	23	7	3
84001	9	38	32	9	10
84501	0	55	22	15	4
84501	1	28	22	9	3
84501	2	102	61	27	6
84501	3	33	19	5	2
84501	4	32	17	11	6
84501	5	47	21	16	10
84501	6	75	55	19	7
84501	7	66	46	24	10
84501	8	31	24	11	5
84501	9	31	36	17	8
85001	0	54	24	17	3
85001	1	27	21	12	3
85001	2	101	60	25	10
85001	3	30	19	6	2
85001	4	32	18	9	5
85001	5	53	21	17	4
85001	6	84	56	16	8
85001	7	63	47	18	7
85001	8	28	20	6	8
85001	9	36	36	12	12
85501	0	54	24	13	4
85501	1	30	22	9	2
85501	2	106	59	18	13
85501	3	33	17	4	1
85501	4	32	18	8	6
85501	5	56	24	14	5
85501	6	80	56	18	10
85501	7	63	47	25	3
85501	8	34	24	5	2
85501	9	38	35	15	4
86001	0	58	25	4	1
86001	1	29	22	9	5
86001	2	104	55	23	14
86001	3	32	18	9	2
86001	4	33	19	9	6
86001	5	52	19	13	8
86001	6	76	58	23	6
86001	7	61	48	22	6
86001	8	33	23	8	3
86001	9	40	37	17	7
86501	0	56	24	15	3
86501	1	28	21	9	6
86501	2	102	60	25	12
86501	3	30	18	6	3
86501	4	33	19	10	2
86501	5	54	23	18	7
86501	6	76	57	27	5
86501	7	65	45	17	6
86501	8	32	24	8	0
86501	9	40	36	16	6
87001	0	52	24	26	5
87001	1	31	22	7	0
87001	2	107	57	25	15
87001	3	33	18	2	1
87001	4	35	20	8	4
87001	5	55	22	16	4
87001	6	83	56	17	6
87001	7	68	40	22	12
87001	8	33	25	6	5
87001	9	39	36	17	3
87501	0	56	24	6	6
87501	1	31	21	8	3
87501	2	107	60	20	10
87501	3	31	18	7	2
87501	4	35	20	5	7
87501	5	57	22	13	6
87501	6	77	55	21	6
87501	7	63	44	26	7
87501	8	29	23	11	3
87501	9	39	37	15	3
88001	0	56	23	16	5
88001	1	31	19	7	3
88001	2	105	61	30	19
88001	3	32	18	6	3
88001	4	36	19	6	3
88001	5	54	21	12	8
88001	6	84	57	21	13
88001	7	66	43	19	9
88001	8	29	23	7	10
88001	9	39	36	14	8
88501	0	55	25	11	5
88501	1	31	19	7	6
88501	2	104	60	28	21
88501	3	32	19	6	5
88501	4	34	20	7	2
88501	5	56	24	9	4
88501	6	75	56	22	4
88501	7	71	43	14	8
88501	8	32	21	6	3
88501	9	42	38	10	5
89001	0	53	26	20	5
89001	1	32	22	5	3
89001	2	104	59	26	27
89001	3	30	13	8	7
89001	4	31	18	14	4
89001	5	53	23	16	2
89001	6	80	58	18	8
89001	7	68	44	14	2
89001	8	33	20	6	6
89001	9	43	37	10	6
89501	0	57	26	14	4
89501	1	29	18	15	4
89501	2	111	66	18	12
89501	3	31	17	5	7
89501	4	36	19	4	2
89501	5	53	22	13	3
89501	6	78	55	20	9
89501	7	71	45	14	9
89501	8	33	24	10	1
89501	9	38	34	15	6
90001	0	56	25	9	3
90001	1	33	20	5	2
90001	2	111	66	15	15
90001	3	31	18	5	3
90001	4	34	18	8	3
90001	5	54	24	10	6
90001	6	83	52	19	13
90001	7	69	43	21	6
90001	8	35	22	3	5
90001	9	41	36	13	3
90501	0	55	24	10	8
90501	1	32	19	7	1
90501	2	109	65	32	13
90501	3	31	18	9	4
90501	4	34	20	8	1
90501	5	52	23	14	2
90501	6	81	53	21	9
90501	7	65	49	17	8
90501	8	35	22	7	3
90501	9	39	37	6	4
91001	0	55	25	11	4
91001	1	34	19	11	2
91001	2	108	68	38	10
91001	3	32	19	6	2
91001	4	34	19	11	2
91001	5	56	25	4	2
91001	6	82	56	20	12
91001	7	71	50	15	3
91001	8	33	22	11	2
91001	9	42	37	10	5
91501	0	55	23	13	4
91501	1	35	19	6	4
91501	2	113	68	27	12
91501	3	32	16	5	3
91501	4	35	20	8	7
91501	5	53	25	11	1
91501	6	75	55	22	13
91501	7	71	49	18	9
91501	8	35	22	7	7
91501	9	42	37	11	4
92001	0	57	25	12	5
92001	1	35	20	7	6
92001	2	105	64	25	10
92001	3	31	18	8	2
92001	4	33	18	9	5
92001	5	55	24	10	1
92001	6	81	59	17	9
92001	7	69	47	14	7
92001	8	31	22	9	6
92001	9	41	34	13	6
92501	0	57	25	14	8
92501	1	34	18	10	3
92501	2	111	66	25	11
92501	3	31	17	9	2
92501	4	31	19	9	3
92501	5	57	24	14	4
92501	6	79	59	15	7
92501	7	66	43	17	11
92501	8	33	22	11	6
92501	9	42	38	9	5
93001	0	54	27	22	5
93001	1	34	20	7	2
93001	2	112	68	22	11
93001	3	28	14	16	3
93001	4	33	21	8	5
93001	5	55	24	11	3
93001	6	80	59	23	9
93001	7	62	51	17	5
93001	8	33	27	5	4
93001	9	42	39	9	4
93501	0	52	27	16	4
93501	1	35	20	9	2
93501	2	107	59	30	14
93501	3	32	16	7	5
93501	4	31	21	9	7
93501	5	52	23	15	6
93501	6	83	60	13	12
93501	7	70	51	15	2
93501	8	31	26	5	3
93501	9	39	37	13	5
94001	0	54	28	12	3
94001	1	31	17	14	4
94001	2	112	66	24	9
94001	3	33	15	9	3
94001	4	31	19	10	6
94001	5	56	24	13	5
94001	6	79	56	23	12
94001	7	69	47	15	9
94001	8	34	26	3	4
94001	9	41	37	8	5
94501	0	55	26	12	7
94501	1	33	17	13	4
94501	2	108	68	30	11
94501	3	31	15	11	6
94501	4	32	18	12	5
94501	5	54	26	11	7
94501	6	81	57	21	7
94501	7	70	45	12	14
94501	8	34	27	8	3
94501	9	43	38	10	3
95001	0	59	27	15	4
95001	1	30	20	12	2
95001	2	111	68	29	7
95001	3	35	18	4	2
95001	4	34	21	5	7
95001	5	53	26	12	4
95001	6	84	62	17	5
95001	7	68	46	24	8
95001	8	36	26	8	3
95001	9	43	37	12	7
95501	0	57	26	15	10
95501	1	30	19	11	2
95501	2	109	68	36	7
95501	3	33	17	7	5
95501	4	33	21	9	4
95501	5	56	26	10	7
95501	6	83	56	19	12
95501	7	69	46	20	8
95501	8	32	26	11	3
95501	9	40	36	16	8
96001	0	60	25	15	6
96001	1	29	20	18	3
96001	2	105	70	34	11
96001	3	35	17	6	4
96001	4	35	20	7	3
96001	5	54	25	12	7
96001	6	81	61	20	11
96001	7	69	42	26	12
96001	8	35	22	9	8
96001	9	43	38	19	5
96501	0	59	26	11	4
96501	1	35	20	11	4
96501	2	115	68	21	15
96501	3	35	20	8	1
96501	4	36	21	12	3
96501	5	55	23	16	8
96501	6	83	60	23	9
96501	7	69	48	25	10
96501	8	35	27	2	6
96501	9	42	37	14	9
97001	0	53	26	17	3
97001	1	29	19	13	8
97001	2	116	69	26	8
97001	3	32	19	7	5
97001	4	36	22	10	3
97001	5	58	27	12	5
97001	6	85	63	18	7
97001	7	71	47	18	13
97001	8	36	28	1	3
97001	9	45	34	11	11
97501	0	58	25	16	1
97501	1	33	21	9	2
97501	2	123	68	22	13
97501	3	35	20	4	2
97501	4	35	22	11	5
97501	5	58	26	14	10
97501	6	88	61	16	12
97501	7	73	50	18	8
97501	8	35	27	9	5
97501	9	45	40	8	5
98001	0	60	28	10	3
98001	1	38	21	8	2
98001	2	122	68	19	13
98001	3	35	20	7	5
98001	4	34	23	9	2
98001	5	53	27	16	11
98001	6	87	61	19	8
98001	7	74	51	14	11
98001	8	33	29	7	1
98001	9	40	38	18	7
98501	0	57	25	6	9
98501	1	30	19	11	5
98501	2	123	65	24	15
98501	3	35	21	7	4
98501	4	33	19	15	4
98501	5	56	29	15	9
98501	6	82	64	18	10
98501	7	70	49	22	9
98501	8	34	29	6	1
98501	9	43	38	13	12
99001	0	58	27	12	5
99001	1	36	19	6	4
99001	2	122	70	18	14
99001	3	35	22	6	1
99001	4	33	22	10	5
99001	5	58	30	10	4
99001	6	81	60	23	10
99001	7	73	54	17	7
99001	8	34	28	8	1
99001	9	47	44	3	0
99501	0	60	23	10	4
99501	1	36	22	8	1
99501	2	125	69	23	8
99501	3	32	22	8	2
99501	4	38	23	11	5
99501	5	58	32	11	2
99501	6	86	60	18	6
99501	7	70	55	16	3
99501	8	32	29	7	4
99501	9	46	42	11	5
100001	0	55	22	15	1
100001	1	40	21	8	4
100001	2	124	70	24	8
100001	3	34	21	8	7
100001	4	35	23	15	3
100001	5	58	32	10	0
100001	6	84	61	25	14
100001	7	76	56	16	10
100001	8	36	28	4	3
100001	9	46	43	15	0
100501	0	57	28	19	6
100501	1	37	23	9	4
100501	2	116	70	25	19
100501	3	36	21	8	2
100501	4	38	22	15	5
100501	5	58	29	7	8
100501	6	86	60	20	10
100501	7	74	54	13	7
100501	8	36	26	7	5
100501	9	43	42	12	2
101001	0	60	27	21	4
101001	1	34	22	12	5
101001	2	121	69	23	17
101001	3	37	21	5	1
101001	4	37	22	7	3
101001	5	54	31	18	4
101001	6	83	62	21	13
101001	7	67	51	30	6
101001	8	34	27	9	4
101001	9	42	42	6	7
101501	0	61	28	13	9
101501	1	40	21	6	5
101501	2	124	69	24	11
101501	3	32	20	9	4
101501	4	34	21	11	3
101501	5	59	29	14	7
101501	6	85	62	20	6
101501	7	74	54	14	8
101501	8	36	27	3	3
101501	9	43	41	13	8
102001	0	62	27	10	3
102001	1	39	22	12	4
102001	2	113	63	39	12
102001	3	33	21	10	3
102001	4	39	20	7	4
102001	5	59	29	15	7
102001	6	86	67	23	9
102001	7	72	54	20	5
102001	8	35	24	6	9
102001	9	43	43	9	4
102501	0	60	27	8	2
102501	1	39	24	5	2
102501	2	120	68	36	11
102501	3	35	19	7	3
102501	4	39	21	10	5
102501	5	59	31	17	5
102501	6	86	67	21	6
102501	7	67	51	20	4
102501	8	37	24	9	8
102501	9	46	35	12	2
103001	0	60	27	10	3
103001	1	41	23	2	4
103001	2	119	68	38	14
103001	3	34	19	7	2
103001	4	38	19	11	5
103001	5	57	28	8	7
103001	6	85	62	15	12
103001	7	73	54	13	6
103001	8	37	27	6	4
103001	9	46	42	12	3
103501	0	63	29	11	6
103501	1	40	25	6	2
103501	2	129	76	23	12
103501	3	34	19	11	3
103501	4	39	23	12	4
103501	5	57	30	14	3
103501	6	82	62	22	4
103501	7	74	53	14	8
103501	8	36	30	6	2
103501	9	45	42	10	1
104001	0	65	26	17	4
104001	1	41	25	5	4
104001	2	124	74	32	11
104001	3	31	19	10	5
104001	4	37	23	12	3
104001	5	58	32	13	4
104001	6	79	60	27	13
104001	7	78	52	19	10
104001	8	37	28	5	2
104001	9	42	38	19	8
104501	0	62	27	16	3
104501	1	39	24	7	3
104501	2	122	70	28	7
104501	3	34	21	8	3
104501	4	41	23	7	5
104501	5	63	33	8	3
104501	6	85	62	20	9
104501	7	75	51	23	12
104501	8	34	29	5	4
104501	9	46	35	11	13
105001	0	59	29	14	2
105001	1	36	25	8	3
105001	2	127	72	29	7
105001	3	35	21	10	0
105001	4	38	21	9	6
105001	5	62	34	13	4
105001	6	83	65	24	8
105001	7	76	55	17	6
105001	8	38	27	8	6
105001	9	46	37	11	10
105501	0	64	29	7	2
105501	1	39	23	7	4
105501	2	126	68	36	8
105501	3	34	21	15	1
105501	4	35	22	11	3
105501	5	61	31	8	8
105501	6	84	63	23	10
105501	7	76	54	16	9
105501	8	38	28	4	4
105501	9	46	38	5	12
106001	0	62	28	14	2
106001	1	39	24	5	3
106001	2	124	71	30	9
106001	3	34	20	8	3
106001	4	35	22	14	8
106001	5	59	32	14	4
106001	6	82	61	29	9
106001	7	72	53	20	10
106001	8	38	28	7	4
106001	9	42	40	7	9
106501	0	64	28	7	3
106501	1	37	21	11	5
106501	2	130	73	25	9
106501	3	40	22	3	3
106501	4	42	23	8	5
106501	5	60	31	8	6
106501	6	90	66	24	9
106501	7	79	56	11	8
106501	8	36	29	7	7
106501	9	45	40	10	4
107001	0	61	27	18	1
107001	1	35	22	7	6
107001	2	123	72	26	12
107001	3	38	21	4	2
107001	4	39	21	9	3
107001	5	58	29	7	6
107001	6	91	64	27	12
107001	7	79	54	25	9
107001	8	36	28	7	2
107001	9	44	39	7	12
107501	0	63	26	9	7
107501	1	33	24	14	4
107501	2	130	70	38	15
